new_code,url,@pic_path2
6M6SU,damtech.ir/p/6M6SU,D:\ddddddddddddddd\python_learn\6M6SU.png
SZFIQ,damtech.ir/p/SZFIQ,D:\ddddddddddddddd\python_learn\SZFIQ.png
EOYDB,damtech.ir/p/EOYDB,D:\ddddddddddddddd\python_learn\EOYDB.png
WZ0KW,damtech.ir/p/WZ0KW,D:\ddddddddddddddd\python_learn\WZ0KW.png
4293F,damtech.ir/p/4293F,D:\ddddddddddddddd\python_learn\4293F.png
0SW0B,damtech.ir/p/0SW0B,D:\ddddddddddddddd\python_learn\0SW0B.png
UUKRY,damtech.ir/p/UUKRY,D:\ddddddddddddddd\python_learn\UUKRY.png
K7IT1,damtech.ir/p/K7IT1,D:\ddddddddddddddd\python_learn\K7IT1.png
YJJI0,damtech.ir/p/YJJI0,D:\ddddddddddddddd\python_learn\YJJI0.png
SP4V9,damtech.ir/p/SP4V9,D:\ddddddddddddddd\python_learn\SP4V9.png
6L9G8,damtech.ir/p/6L9G8,D:\ddddddddddddddd\python_learn\6L9G8.png
C0WIZ,damtech.ir/p/C0WIZ,D:\ddddddddddddddd\python_learn\C0WIZ.png
ANTVK,damtech.ir/p/ANTVK,D:\ddddddddddddddd\python_learn\ANTVK.png
PCWFE,damtech.ir/p/PCWFE,D:\ddddddddddddddd\python_learn\PCWFE.png
2WEUY,damtech.ir/p/2WEUY,D:\ddddddddddddddd\python_learn\2WEUY.png
8CF04,damtech.ir/p/8CF04,D:\ddddddddddddddd\python_learn\8CF04.png
5PPEX,damtech.ir/p/5PPEX,D:\ddddddddddddddd\python_learn\5PPEX.png
7N26U,damtech.ir/p/7N26U,D:\ddddddddddddddd\python_learn\7N26U.png
PW187,damtech.ir/p/PW187,D:\ddddddddddddddd\python_learn\PW187.png
1J27Y,damtech.ir/p/1J27Y,D:\ddddddddddddddd\python_learn\1J27Y.png
LRBXG,damtech.ir/p/LRBXG,D:\ddddddddddddddd\python_learn\LRBXG.png
R0O6E,damtech.ir/p/R0O6E,D:\ddddddddddddddd\python_learn\R0O6E.png
35KHS,damtech.ir/p/35KHS,D:\ddddddddddddddd\python_learn\35KHS.png
HL6QR,damtech.ir/p/HL6QR,D:\ddddddddddddddd\python_learn\HL6QR.png
SYKYG,damtech.ir/p/SYKYG,D:\ddddddddddddddd\python_learn\SYKYG.png
GDAH3,damtech.ir/p/GDAH3,D:\ddddddddddddddd\python_learn\GDAH3.png
7D24B,damtech.ir/p/7D24B,D:\ddddddddddddddd\python_learn\7D24B.png
D9BA2,damtech.ir/p/D9BA2,D:\ddddddddddddddd\python_learn\D9BA2.png
84UCV,damtech.ir/p/84UCV,D:\ddddddddddddddd\python_learn\84UCV.png
FS9TZ,damtech.ir/p/FS9TZ,D:\ddddddddddddddd\python_learn\FS9TZ.png
QBM0P,damtech.ir/p/QBM0P,D:\ddddddddddddddd\python_learn\QBM0P.png
IDH56,damtech.ir/p/IDH56,D:\ddddddddddddddd\python_learn\IDH56.png
7Y9YP,damtech.ir/p/7Y9YP,D:\ddddddddddddddd\python_learn\7Y9YP.png
BZ33D,damtech.ir/p/BZ33D,D:\ddddddddddddddd\python_learn\BZ33D.png
CH7ST,damtech.ir/p/CH7ST,D:\ddddddddddddddd\python_learn\CH7ST.png
HGIJI,damtech.ir/p/HGIJI,D:\ddddddddddddddd\python_learn\HGIJI.png
LVR89,damtech.ir/p/LVR89,D:\ddddddddddddddd\python_learn\LVR89.png
RI2LY,damtech.ir/p/RI2LY,D:\ddddddddddddddd\python_learn\RI2LY.png
8NZSU,damtech.ir/p/8NZSU,D:\ddddddddddddddd\python_learn\8NZSU.png
EUJB6,damtech.ir/p/EUJB6,D:\ddddddddddddddd\python_learn\EUJB6.png
263U7,damtech.ir/p/263U7,D:\ddddddddddddddd\python_learn\263U7.png
VJRYV,damtech.ir/p/VJRYV,D:\ddddddddddddddd\python_learn\VJRYV.png
ZO2Q7,damtech.ir/p/ZO2Q7,D:\ddddddddddddddd\python_learn\ZO2Q7.png
6TF9M,damtech.ir/p/6TF9M,D:\ddddddddddddddd\python_learn\6TF9M.png
3ENQN,damtech.ir/p/3ENQN,D:\ddddddddddddddd\python_learn\3ENQN.png
ITG2Z,damtech.ir/p/ITG2Z,D:\ddddddddddddddd\python_learn\ITG2Z.png
EBXWI,damtech.ir/p/EBXWI,D:\ddddddddddddddd\python_learn\EBXWI.png
LZJ2U,damtech.ir/p/LZJ2U,D:\ddddddddddddddd\python_learn\LZJ2U.png
I0HWF,damtech.ir/p/I0HWF,D:\ddddddddddddddd\python_learn\I0HWF.png
NWEX2,damtech.ir/p/NWEX2,D:\ddddddddddddddd\python_learn\NWEX2.png
